time;SrLT1;SrLT2;SrLT3;SrLT4
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
0;-1.#IND;-1.#IND;-1.#IND;-1.#IND
414.77;2.31453;1.01261;0.723292;0.289317
415.004;2.31323;1.01204;0.722885;0.289154
416.114;2.30706;1.00934;0.720957;0.288383
416.21;2.30653;1.00911;0.720789;0.288316
416.239;2.30637;1.00903;0.720739;0.288296
416.819;2.30316;1.00763;0.719737;0.287895
418.511;2.29384;1.00356;0.716826;0.286731
418.639;2.29314;1.00325;0.716608;0.286643
419.234;2.28989;1.00183;0.715591;0.286236
419.935;2.28607;1.00015;0.714396;0.285758
420.265;2.28427;0.999369;0.713835;0.285534
422.045;2.27464;0.995154;0.710825;0.28433
423.353;2.26761;0.99208;0.708629;0.283452
425.522;2.25605;0.987024;0.705017;0.282007
425.787;2.25465;0.98641;0.704578;0.281831
430.888;2.22796;0.974731;0.696237;0.278495
431.361;2.22552;0.973663;0.695474;0.278189
431.562;2.22448;0.973209;0.695149;0.27806
432.258;2.22089;0.971641;0.694029;0.277612
433.917;2.2124;0.967927;0.691376;0.276551
434.429;2.2098;0.966786;0.690562;0.276225
434.924;2.20728;0.965686;0.689776;0.27591
435.521;2.20426;0.964363;0.688831;0.275532
436.327;2.20018;0.96258;0.687557;0.275023
437.354;2.19502;0.960321;0.685943;0.274377
437.849;2.19253;0.959234;0.685167;0.274067
438.093;2.19131;0.9587;0.684785;0.273914
439.884;2.18239;0.954797;0.681998;0.272799
