time;kolejka pasazerow lotnisko;kolejka hotel1;kolejka hotel2;kolejka hotel3;kolejka hotel4;kolejka autobusow na lotnisku
203.961;198;0;0;1;10;0
204.339;210;0;0;1;10;0
204.531;210;0;0;1;6;0
205.691;210;1;0;1;6;0
207.559;210;2;0;1;6;0
208.075;210;2;0;0;6;0
209.158;210;2;0;0;7;0
209.86;210;2;0;0;3;0
210.88;210;3;0;0;3;0
210.912;210;3;0;0;4;0
212.204;221;3;0;0;4;0
213.715;221;3;0;1;4;0
214.653;221;3;0;2;4;0
215.056;221;3;1;2;4;0
215.203;231;3;1;2;4;0
216.214;231;4;1;2;4;0
217.126;231;4;1;2;5;0
217.64;231;4;1;3;5;0
218.517;231;4;1;0;5;0
218.537;231;4;2;0;5;0
218.884;216;4;2;0;5;0
219.348;216;4;2;1;5;0
221.392;216;4;2;1;0;0
221.645;216;4;2;2;0;0
221.727;216;4;2;2;1;0
222.978;216;4;2;2;0;0
224.314;216;4;2;2;1;0
224.862;228;4;2;2;1;0
224.915;228;4;2;3;1;0
225.883;213;4;2;3;1;0
227.187;223;4;2;3;1;0
227.335;235;4;2;3;1;0
233.001;235;4;2;4;1;0
235.569;235;4;2;4;0;0
235.658;235;3;2;4;0;0
236.674;220;3;2;4;0;0
236.735;220;3;2;4;0;1
237.434;220;4;2;4;0;1
239.864;220;4;2;5;0;1
241.674;205;4;2;5;0;0
241.695;205;2;2;5;0;0
243.097;205;2;2;6;0;0
243.39;216;2;2;6;0;0
243.71;216;2;2;7;0;0
247.636;227;2;2;7;0;0
250.211;239;2;2;7;0;0
251.306;239;2;0;7;0;0
251.472;248;2;0;7;0;0
251.891;260;2;0;7;0;0
252.254;260;2;0;7;0;0
252.417;245;2;0;7;0;0
252.824;245;2;0;8;0;0
254.285;245;2;0;9;0;0
254.299;258;2;0;9;0;0
255.109;258;3;0;9;0;0
255.359;258;3;0;9;1;0
255.494;258;3;0;9;1;0
256.609;258;3;0;10;1;0
257.985;258;2;0;10;1;0
261.311;268;2;0;10;1;0
261.672;268;2;0;10;2;0
262.365;268;2;0;10;3;0
262.884;278;2;0;10;3;0
263.608;278;2;0;1;3;0
264.565;278;2;0;1;4;0
264.75;278;2;0;1;4;0
265.864;278;0;0;1;4;0
266.278;278;1;0;1;4;0
268.879;288;1;0;1;4;0
269.106;288;1;1;1;4;0
269.165;288;1;1;1;5;0
270.417;288;1;1;0;5;0
273.493;288;1;0;0;5;0
273.994;299;1;0;0;5;0
274.819;299;1;0;1;5;0
